user_id,titles_watched
1,Uta no☆Prince-sama♪ Maji Love Revolutions
2,"Cháu trai của nhà thông thái, Air, Prison School (Live Action), Masou Gakuen HxH Specials, Prison School, Ooo Den O-all Rider: Let's Go Kamen Rider, Magical☆Star Kanon 100%, Deca-Dence, Rinne no Lagrange, Flanders no Inu (Movie)"
3,"Date A Live Ⅲ, Chén thánh: Đêm Định Mệnh - Nhiệm vụ cuối cùng SS2, Berserk, Hana wa Saku  Shura no Gotoku"
4,"Show By Rock!! Mashumairesh!!, Beelzebub-jou no Okinimesu mama., Nogizaka Haruka no Himitsu: Finale, Tamayomi, Ultraman Geed, Đông Nhi Phiến Loạn, Chobits, Yatogame-chan Kansatsu Nikki Nisatsume, Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen, Onmyou Taisenki, Hetalia World Series, Hắc Bạch Vô Song Phần 1, Mekakucity Actors, Military!, Về Bên Anh, Star Wars: Visions, Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero, Black Jack 21, Granbelm"
5,"Doraemon Movie 32: Nobita to Kiseki no Shima - Animal Adventure, Câu Chuyện Mới Bắt Đầu, Trong Tông Môn Trừ Ta Ra Tất Cả Đều Là Gián Điệp, Chỉ Còn Là Hôm Qua, Seiken no Blacksmith, Lookism, Nagato Yuki-chan no Shoushitsu: Owarenai Natsuyasumi, High Score Girl: Extra Stage"
6,"Rokuhoudou Yotsuiro Biyori, Soul Eater NOT!, No Guns Life 2nd Season, Tinh Nguyên Chi Chủ, Anh Hùng Cương Dương Movie, Ghost in the Shell 2: Innocence, Musaigen no Phantom World, Thuỷ Thủ Mặt Trăng, Bakuretsu Tenshi: Infinity, Thiên Quan Tứ Phúc, Loop 7-kaime no Akuyaku Reijou wa  Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru, Đứa Con Của Thần Tượng - Oshi no Ko, Majokko Shimai no Yoyo to Nene, Tiên Nghịch, Kidou Senshi Gundam: Suisei no Majo Season 2"
7,"Chuunibyou demo Koi ga Shitai! Lite, Maiko-san Chi no Makanai-san, Eizouken ni wa Te wo Dasu na!, Thanh Gươm Momo Kyun, Hidamari Sketch x 365, Berserk (2016), BOSS, Seijuu Sentai Gingaman, Endro~!"
8,"Kaii to Otome to Kamikakushi, Grappler Baki, Healer Báo Thù, Dr. Stone: Stone Wars, Chuukan Kanriroku Tonegawa, Mermaid Melody Pichi Pichi Pitch Pure, Kaguya-sama: Cuộc Chiến Tỏ Tình - Ultra Romantic, Kakegurui Twin, High School Fleet OVA, Hắc Quản Gia OVA, Kakkou no Iikagen, Ma Mạng, Sekai de Ichiban Tsuyoku Naritai! Specials, Ou Dorobou Jing, Working!!!: Lord of the Takanashi, Hồng Hoang Linh Tôn, Nana, Uzaki-chan Muốn Đi Chơi! Mùa 2"
9,"Around 40 Otoko no Isekai Tsuuhan, Itazura na Kiss"
10,"Doraemon Movie 16: Nobita no Sousei Nikki, Shakunetsu no Takkyuu Musume, Digimon Savers, Brigadoon: Marin to Melan, Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu, Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV), Thiên Bảo Phục Yêu Lục, Oushitsu Kyoushi Heine Movie"
