title,link,image,episode,rating,views,quality,year,genres,description,season,type
5-toubun no Hanayome*,https://animevietsub.page/phim/5-toubun-no-hanayome-a5530/,https://cdn.animevietsub.page/data/poster/2024/11/30/animevsub-qnDa4rwree.jpg,N/A,9.6 trong số 10 dựa trên 301 thành viên đánh giá,"235,236",HD,2024,"Shounen, School, Romance, Harem, Comedy",Chuyến đi tuần trăng mật của Fuutarou Uesugi và 5 chị em nhà Nakano.,Mùa thu,phim lẻ
Overlord Movie 3: Sei Oukoku-hen,https://animevietsub.page/phim/overlord-movie-3-sei-oukoku-hen-a5360/,https://cdn.animevietsub.page/data/poster/2024/12/02/animevsub-5FfrDQoDDk.png,N/A,9.4 trong số 10 dựa trên 115 thành viên đánh giá,"687,666",CAM,2024,"Fantasy, Adventure, Magic, Action",Vương quốc thiêng liêng đã trải qua nhiều năm không có chiến tranh nhờ bức tường khổng lồ được xây dựng sau một thảm...,Mùa thu,phim lẻ
Digimon Adventure 02: The Beginning,https://animevietsub.page/phim/digimon-adventure-02-the-beginning-a5439/,https://cdn.animevietsub.page/data/poster/2024/09/18/animevsub-hmlzVgeK3Y.jpg,N/A,7.3 trong số 10 dựa trên 3 thành viên đánh giá,"27,447",HD,2023,"Fantasy, Drama, Comedy, Adventure, Action","Hai năm sau trận chiến với Eosmon, Davis Motomiya, Ken Ichijouji, Yolei Inoue, Cody Hida, TK Takaishi và Kari Kamiya gặp một cậu bé tên...",Mùa thu,phim lẻ
Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,https://animevietsub.page/phim/tengen-toppa-gurren-lagann-movie-1-gurren-hen-a5401/,https://cdn.animevietsub.page/data/poster/2024/08/07/animevsub-E1P10Ttd7F.jpg,N/A,9 trong số 10 dựa trên 9 thành viên đánh giá,"37,285",FHD,2008,"Sci-Fi, Action",Studio hoạt hình Gainax đã giới thiệu một trang web để phát hành bản chuyển thể phim của loạt phim truyền hình Tengen Toppa...,Mùa thu,phim lẻ
Yowamushi Pedal: Spare Bike,https://animevietsub.page/phim/yowamushi-pedal-spare-bike-a5377/,https://cdn.animevietsub.page/data/poster/2024/07/19/animevsub-jYRWtf5y1c.jpg,N/A,7.5 trong số 10 dựa trên 11 thành viên đánh giá,"15,265",FHD,2016,"Shounen, Sports, Drama, Action","Anime chuyển thể từ manga ngoại truyện cùng tên Yowamushi Pedal sẽ bao gồm hai phần, một phần tập trung vào Yūsuke Makishima...",Mùa thu,phim lẻ
Pretty Series 10th Anniversary,https://animevietsub.page/phim/pretty-series-10th-anniversary-a5364/,https://cdn.animevietsub.page/data/poster/2024/07/14/animevsub-uQUEsX1mqY.png,N/A,9.2 trong số 10 dựa trên 6 thành viên đánh giá,"25,196",SD,2024,,Một tập đặc biệt kỷ niệm 10 năm được phát sóng vào ngày 20 tháng 9 năm 2020 và màn trình diễn CG đặc biệt có sự góp...,Mùa thu,phim lẻ
Totto-chan: Cô Bé Bên Cửa Sổ,https://animevietsub.page/phim/madogiwa-no-totto-chan-a5334/,https://cdn.animevietsub.page/data/poster/2024/06/26/animevsub-94WlWTdXue.jpg,N/A,9.6 trong số 10 dựa trên 26 thành viên đánh giá,"53,262",FHD,2023,Historical,"Không còn cách nào khác, mẹ đành đưa Totto-chan đến một ngôi trường mới, trường Tomoe. Đấy là một ngôi trường kỳ lạ,...",Mùa thu,phim lẻ
Fragtime,https://animevietsub.page/phim/fragtime-a5333/,https://cdn.animevietsub.page/data/poster/2024/06/26/animevsub-crNKJ4TdBn.jpg,N/A,9.5 trong số 10 dựa trên 54 thành viên đánh giá,"115,493",FHD,2019,"Slice of Life, Sci-Fi, School, Supernatural, Romance",Bạn sẽ làm gì nếu có thể dừng được thời gian? Moritani sử dụng khả năng khác thường của mình là dừng thời gian trong...,Mùa thu,phim lẻ
Shin Cậu Bé Bút Chì Movie 31: Đại Chiến Siêu Năng Lực Sushi Bay,https://animevietsub.page/phim/shin-cau-be-but-chi-movie-31-dai-chien-sieu-nang-luc-sushi-bay-a5129/,https://cdn.animevietsub.page/data/poster/2023/11/28/animevsub-uuB264BvCF.jpg,N/A,9.6 trong số 10 dựa trên 25 thành viên đánh giá,"604,988",FHD,2023,"Comedy, Adventure","Vào một buổi tối, khi gia đình của Shin đang ăn tối thì có hai luồng sáng bí ẩn chiếu thẳng xuống đất nước Nhật Bản,...",Mùa thu,phim lẻ
Precure All Stars Movie F,https://animevietsub.page/phim/precure-all-stars-movie-f-a5231/,https://cdn.animevietsub.page/data/poster/2024/02/03/animevsub-0oFktRyd0Z.jpg,N/A,9.4 trong số 10 dựa trên 14 thành viên đánh giá,"79,027",HD,2023,"Shoujo, Fantasy, Magic, Action","Sora Harewataaru (Cure Sky) tỉnh dậy ở một thế giới xa lạ. Đồng hành cùng Nagomi Yui (Cure Precious) và Natsuumi Manatsu (Cure Summer),...",Mùa thu,phim lẻ
